,text,explanation,origin
327,Bitter end - The ,"To the
limit of one's efforts - to the last extremity.",English
328,Black as Newgate's knocker," 'As black as Newgate's knocker' means pitch
          black.",English
329,Black-on-black,"Interactions that occur between black people, notably crime that is perpetrated by one black person against another.",English
330,Black sheep of the family,"A
disreputable or disgraced member of a family.",English
331,Blast from the past - A,"Something
or someone that returns after a period of obscurity or absence. It is normally applied to things that that were thought fondly of previously and are making a welcome return - particularly pop songs. ",English
332,Blaze a trail,To lead the way.,English
333,Bless you! (after a sneeze),"'Bless you!', or sometimes 'God bless you!' or 'God bless!', is a response often said when someone sneezes. ",English
334,Blind leading the blind - The ,"Uninformed
and incompetent people leading others who are similarly incapable.",English
335,Blind-man's buff,"A game, in which a blindfolded player tries to catch others. ",English
336,Bling-bling,"Ostentatious, over-the-top jewellery or dress. Often used to demonstrate the wearer's wealth. ",English
337,Blonde bombshell,A glamorous blonde.,English
338,Blood and thunder,"An oath, alluding to mayhem and bloodshed. ",English
339,Blood is thicker than water, By saying 'blood is thicker than water' we mean that family bonds are closer than those of outsiders.,English
340,Blood toil tears and sweat,A line from Sir Winston Churchill's WWII speech on becoming prime minister of the UK in 1940.,English
341,"Blood, sweat and tears",Hard work and effort in  difficult circumstances. ,English
342,Bloody-minded,"Tiresome, stubborn and obstructive. ",English
343,Blot on the landscape,"Something
that spoils the view or ruins a previously comfortable situation.",English
344,Blow a raspberry - see raspberry tart,Fart.,English
345,Blow your mind,Expand your mind by use of hallucinatory drugs.,English
346,Blow your own trumpet,"Act in a boastful, self-promoting manner.",English
347,Blown to smithereens,Disintegrated into small fragments by a sudden impact or explosion. ,English
348,Blue blood,The blood that which flows in the veins of old and aristocratic families.,English
349,Blue moon (Once in a),Very rarely. ,English
350,Blue-plate special,A set meal provided at a reduced price. ,English
351,Bob's your uncle,"'Bob's your uncle'  is an archetypically English phrase and is so familiar here for it to have spawned jokey variants. As 'take the Mickey' has an extended alternative 'extract the Michael', 'Bob's your uncle' is sometimes extended to 'Robert's your auntie's husband'. People  in other English speaking countries won't be so familiar with the phrase, so I'll give some examples that may explain the meaning. ",English
352,Bode well,"To foreshadow a successful outcome, indicated by some circumstance or event.",English
353,Bodice ripper,A 'Bodice ripper' is a sexually suggestive romantic novel; usually in a historical setting and always with a plot involving the seduction of the heroine.,English
354,Body - phrases related to the human body ,"All of the phrases below contain a reference to a part of the human body - brain, shoulder, face, toe etc. There are more of them than you might expect, around 600 here and no doubt you can think of a few others...",English
355,Body surfing,"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ",English
356,Bog standard,The basic unrefined article.,English
357,Bold as brass, The simile 'as bold as brass' means 'very bold; blatant.,English
358,Bolt from the blue,"A
complete surprise, like
a bolt of lightning from a clear blue sky.",English
359,Bone dry,Completely dry.,English
360,Bone idle,Utterly lazy.,English
361,Bone up on,"To study hard, usually in preparation for a test.",English
362,Booby prize,A prize given to make fun of the loser in a contest or game.,English
363,Booby trap,A practical joke. Also a concealed and possibly lethal trap.,English
364,Boogie-woogie,"A style of blues music, with close links to jazz forms like ragtime and stride, usually played on the piano. ",English
365,(Too big for your) boots,Conceited; having a too high opinion of oneself. ,English
366,Booze cruise,"A
sea trip from England to continental Europe to buy cheap drink.",English
367,Born again,"Christians
 who affirm their renewed and strengthened commitment to their religion are
 called 'born again'. To be born again is to be 'born
 of the spirit'; the first birth being the physical birth of
 the flesh.",English
368,Born with a silver spoon in one's mouth,To be born with a silver spoon in one's mouth is to be born into a wealthy and privileged family. ,English
369,Born within the sound of Bow Bells,Literal meaning. ,English
370,Boss eyed,Cross-eyed or squinty.,English
371,Bottle out,Give up an attempt at something after losing one's nerve.,English
372,Bottom drawer,"A 'bottom drawer' is a place where valuables are stored, especially  clothes, linen, etc. Typically this was the place that a woman might store items in preparation for her marriage. Literally, the lowest drawer of a chest of drawers.",English
373,Bottom-up,An approach to organisation or planning that is built up from basic details rather than from a guiding principal or theory. It is a form of organisation often associated with the democratic involvement of many individuals rather than one governed by an individual or small group. ,English
